"Order was not found.","Order was not found."
"Payment Id","Payment Id"
"Order Id","Order Id"
"Status","Status"
"Response status","Response status"
"Something went wrong.","Something went wrong."
"Transaction time","Transaction time"
"Order was not found.","Order was not found."
"Order was processed.","Order was processed."
"Signature is invalid. Permission denied.","Signature is invalid. Permission denied."
"Invalid JSON format.","Invalid JSON format."
"Notified customer about invoice #%1.","Notified customer about invoice #%1."
"The authorized amount is %1.","The authorized amount is %1."
